nom_club,url_ffhb
canejan hbc,https://monclub.ffhandball.fr/clubs/canejan-hbc/
agja bordeaux cauderan,https://monclub.ffhandball.fr/clubs/agja-bordeaux-cauderan/
eysines handball club,https://monclub.ffhandball.fr/clubs/eysines-handball-club/
lege cap ferret handball,https://monclub.ffhandball.fr/clubs/lege-cap-ferret-handball/
haillan handball,https://monclub.ffhandball.fr/clubs/haillan-handball/
sam hb lesparre,https://monclub.ffhandball.fr/clubs/sam-hb-lesparre/
leognan handball,https://monclub.ffhandball.fr/clubs/leognan-handball/
lormont handball hauts de garonne,https://monclub.ffhandball.fr/clubs/lormont-handball-hauts-de-garonne/
as martignas,https://monclub.ffhandball.fr/clubs/as-martignas/
stade pauillacais independant,https://monclub.ffhandball.fr/clubs/stade-pauillacais-independant/
avenir pailleton,https://monclub.ffhandball.fr/clubs/avenir-pailleton/
us parempuyre handball,https://monclub.ffhandball.fr/clubs/us-parempuyre-handball/
union st bruno bordeaux,https://monclub.ffhandball.fr/clubs/union-st-bruno-bordeaux/
us verdonnaise,https://monclub.ffhandball.fr/clubs/us-verdonnaise/
st medard handball,https://monclub.ffhandball.fr/clubs/st-medard-handball/
union sportive talence handball,https://monclub.ffhandball.fr/clubs/union-sportive-talence-handball/
hb st laurent,https://monclub.ffhandball.fr/clubs/hb-st-laurent/
hbc arsac,https://monclub.ffhandball.fr/clubs/hbc-arsac/
cm floirac cenon handball,https://monclub.ffhandball.fr/clubs/cm-floirac-cenon-handball/
as ambaresienne,https://monclub.ffhandball.fr/clubs/as-ambaresienne/
es blanquefortaise hbc,https://monclub.ffhandball.fr/clubs/es-blanquefortaise-hbc/
hbc izonnais,https://monclub.ffhandball.fr/clubs/hbc-izonnais/
stade langonnais hb,https://monclub.ffhandball.fr/clubs/stade-langonnais-hb/
hbc libourne,https://monclub.ffhandball.fr/clubs/hbc-libourne/
girondins bordeaux hbc,https://monclub.ffhandball.fr/clubs/girondins-bordeaux-hbc/
sa gazinet cestas,https://monclub.ffhandball.fr/clubs/sa-gazinet-cestas/
hbc creonnais,https://monclub.ffhandball.fr/clubs/hbc-creonnais/
hbc teichois,https://monclub.ffhandball.fr/clubs/hbc-teichois/
pl gradignan hb,https://monclub.ffhandball.fr/clubs/pl-gradignan-hb/
sc monsegur hb,https://monclub.ffhandball.fr/clubs/sc-monsegur-hb/
hbc barpais,https://monclub.ffhandball.fr/clubs/hbc-barpais/
villenave hbc,https://monclub.ffhandball.fr/clubs/villenave-hbc/
arcachon la teste hbc,https://monclub.ffhandball.fr/clubs/arcachon-la-teste-hbc/
hbc audengeois,https://monclub.ffhandball.fr/clubs/hbc-audengeois/
hbc artiguais,https://monclub.ffhandball.fr/clubs/hbc-artiguais/
aspom begles hb,https://monclub.ffhandball.fr/clubs/aspom-begles-hb/
bmsl handball,https://monclub.ffhandball.fr/clubs/bmsl-handball/
club athletique beglais,https://monclub.ffhandball.fr/clubs/club-athletique-beglais/
hbc bazadais,https://monclub.ffhandball.fr/clubs/hbc-bazadais/
pe2m hb,https://monclub.ffhandball.fr/clubs/pe2m-hb/
ua cadillacaise,https://monclub.ffhandball.fr/clubs/ua-cadillacaise/
st loubes hb,https://monclub.ffhandball.fr/clubs/st-loubes-hb/
as hb du fronsadais,https://monclub.ffhandball.fr/clubs/as-hb-du-fronsadais/
association sportive saft,https://monclub.ffhandball.fr/clubs/association-sportive-saft/
lassospiquante reolaise,https://monclub.ffhandball.fr/clubs/lassospiquante-reolaise/
handball club saint symphorien,https://monclub.ffhandball.fr/clubs/handball-club-saint-symphorien/
association sportive des sourds de bordeaux,https://monclub.ffhandball.fr/clubs/association-sportive-des-sourds-de-bordeaux/
guitres hand ball club,https://monclub.ffhandball.fr/clubs/guitres-hand-ball-club/
sporting handball club saint pierre,https://monclub.ffhandball.fr/clubs/sporting-handball-club-saint-pierre/
us tyrosse,https://monclub.ffhandball.fr/clubs/us-tyrosse/
mimizan handball club,https://monclub.ffhandball.fr/clubs/mimizan-handball-club/
stade montois,https://monclub.ffhandball.fr/clubs/stade-montois/
us capbreton hb,https://monclub.ffhandball.fr/clubs/us-capbreton-hb/
grenade handball,https://monclub.ffhandball.fr/clubs/grenade-handball/
hbc villeneuvois,https://monclub.ffhandball.fr/clubs/hbc-villeneuvois/
etoile sportive vignalaise,https://monclub.ffhandball.fr/clubs/etoile-sportive-vignalaise/
jeanne d arc de dax,https://monclub.ffhandball.fr/clubs/jeanne-d-arc-de-dax/
hbc saint paulois,https://monclub.ffhandball.fr/clubs/hbc-saint-paulois/
biscarrosse olympique handball,https://monclub.ffhandball.fr/clubs/biscarrosse-olympique-handball/
as st georges,https://monclub.ffhandball.fr/clubs/as-st-georges/
al agen hb,https://monclub.ffhandball.fr/clubs/al-agen-hb/
handball brax,https://monclub.ffhandball.fr/clubs/handball-brax/
hbc marmandais,https://monclub.ffhandball.fr/clubs/hbc-marmandais/
hbc villeneuve sur lot,https://monclub.ffhandball.fr/clubs/hbc-villeneuve-sur-lot/
hbc casteljaloux,https://monclub.ffhandball.fr/clubs/hbc-casteljaloux/
hbc fumelois,https://monclub.ffhandball.fr/clubs/hbc-fumelois/
foulayronnes handball club,https://monclub.ffhandball.fr/clubs/foulayronnes-handball-club/
nerac handball club,https://monclub.ffhandball.fr/clubs/nerac-handball-club/
mourenx handball,https://monclub.ffhandball.fr/clubs/mourenx-handball/
billere handball pau pyrenees,https://monclub.ffhandball.fr/clubs/billere-handball-pau-pyrenees/
sics boucau tarnos,https://monclub.ffhandball.fr/clubs/sics-boucau-tarnos/
pau nousty sports,https://monclub.ffhandball.fr/clubs/pau-nousty-sports/
aheztarrak hb,https://monclub.ffhandball.fr/clubs/aheztarrak-hb/
hbc arudy,https://monclub.ffhandball.fr/clubs/hbc-arudy/
zibero sports tardets,https://monclub.ffhandball.fr/clubs/zibero-sports-tardets/
asson sports,https://monclub.ffhandball.fr/clubs/asson-sports/
